Demographics,nan,nan,Male,Female,,Dublin,Leinster,Munster,Connacht,Ulster (ROI Only),,18-24,25-34,35-44,45-54,55-64,,Always,Often,Sometimes,Rarely,Never,,Always,Often,Sometimes,Rarely,Never,,Denny's,Jameson,M&S,Baileys,Coca Cola,Smirnoff,Tesco,Tayto,nan,Dunnes Stores,Cadbury's,Powers,Lindt,Ballymaloe,Heineken,Other Brands,Roses,Absolut,Guinness,Quality Street,No Group,,TV,Radio,"Print media eg newspapers, magazines, flyers","Out of Home eg billboards, posters",Tiktok,Twitter,Facebook,Instagram,General Online advertising,Email,Other,,TV,Radio,"Print media eg newspapers, magazines, flyers","Out of Home eg billboards, posters",Tiktok,Twitter,Facebook,Instagram,General Online advertising,Email,Other,,nan,nan,nan
Gender,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,11%,,0.0959183673469388,0.115234375, ,0.0925266903914591,0.105072463768116,0.103942652329749,0.150442477876106,0.0943396226415094, ,0.0387596899224806,0.106666666666667,0.111111111111111,0.146919431279621,0.0965909090909091, ,0.110671936758893,0.130208333333333,0.0804597701149425,0.0574712643678161,0.117647058823529, ,0.0853658536585366,0.130111524163569,0.106537530266344,0.0777777777777778,0.105263157894737, ,0.0833333333333333,0.0857142857142857,0,0.0915032679738562,0.105263157894737,0.132075471698113,0.0909090909090909,0.0752688172043011,0.148148148148148,0.0714285714285714,0.0936329588014981,0,0.113207547169811,0.0555555555555556,0.158730158730159,0.188679245283019,0.0892857142857143,0.1875,0.0683760683760684,0.157894736842105,0, ,0,0,0,0,0,0,0,0,0,0,0, ,0.107594936708861,0.0921052631578947,0.0654205607476635,0.0555555555555556,0.143540669856459,0.141509433962264,0.126623376623377,0.108938547486034,0.0946372239747634,0.139784946236559,0, ,0.0869565217391304,0.104166666666667,0.110192837465565
Instagram,188,,69,119, ,51,54,54,19,10, ,32,61,52,30,13, ,44,81,45,15,3, ,22,42,83,37,4, ,4,24,5,69,8,8,8,20,3,4,59,2,7,3,7,16,10,2,19,3,0, ,0,0,0,0,0,0,0,0,0,0,0, ,93,36,25,36,41,22,61,87,64,33,0, ,50,32,118
,19%,,0.140816326530612,0.232421875, ,0.181494661921708,0.195652173913043,0.193548387096774,0.168141592920354,0.188679245283019, ,0.248062015503876,0.271111111111111,0.199233716475096,0.14218009478673,0.0738636363636364, ,0.173913043478261,0.2109375,0.172413793103448,0.172413793103448,0.176470588235294, ,0.268292682926829,0.156133828996283,0.200968523002421,0.205555555555556,0.0701754385964912, ,0.333333333333333,0.228571428571429,0.208333333333333,0.225490196078431,0.140350877192982,0.150943396226415,0.181818181818182,0.21505376344086,0.111111111111111,0.142857142857143,0.220973782771536,0.181818181818182,0.132075471698113,0.166666666666667,0.111111111111111,0.150943396226415,0.178571428571429,0.125,0.162393162393162,0.0789473684210526,0, ,0,0,0,0,0,0,0,0,0,0,0, ,0.19620253164557,0.118421052631579,0.116822429906542,0.166666666666667,0.196172248803828,0.207547169811321,0.198051948051948,0.243016759776536,0.201892744479495,0.17741935483871,0, ,0.271739130434783,0.222222222222222,0.162534435261708
General Online advertising,146,,64,82, ,49,40,37,10,10, ,21,40,36,33,16, ,44,49,42,10,1, ,11,42,53,31,9, ,1,12,4,46,9,9,7,19,6,5,39,2,7,0,5,12,13,4,12,2,0, ,0,0,0,0,0,0,0,0,0,0,0, ,73,35,31,24,26,16,38,53,58,17,2, ,37,34,92
,15%,,0.130612244897959,0.16015625, ,0.174377224199288,0.144927536231884,0.132616487455197,0.0884955752212389,0.188679245283019, ,0.162790697674419,0.177777777777778,0.137931034482759,0.156398104265403,0.0909090909090909, ,0.173913043478261,0.127604166666667,0.160919540229885,0.114942528735632,0.0588235294117647, ,0.134146341463415,0.156133828996283,0.128329297820823,0.172222222222222,0.157894736842105, ,0.0833333333333333,0.114285714285714,0.166666666666667,0.150326797385621,0.157894736842105,0.169811320754717,0.159090909090909,0.204301075268817,0.222222222222222,0.178571428571429,0.146067415730337,0.181818181818182,0.132075471698113,0,0.0793650793650794,0.113207547169811,0.232142857142857,0.25,0.102564102564103,0.0526315789473684,0, ,0,0,0,0,0,0,0,0,0,0,0, ,0.154008438818565,0.115131578947368,0.144859813084112,0.111111111111111,0.124401913875598,0.150943396226415,0.123376623376623,0.14804469273743,0.182965299684543,0.0913978494623656,0.2, ,0.201086956521739,0.236111111111111,0.126721763085399
Email ,46,,23,23, ,13,17,9,4,3, ,8,7,15,8,8, ,12,16,14,3,1, ,5,17,20,3,1, ,0,5,3,10,2,0,2,3,3,1,16,0,6,3,4,4,2,0,4,2,0, ,0,0,0,0,0,0,0,0,0,0,0, ,25,13,8,5,12,5,20,18,12,21,0, ,5,6,37
,5%,,0.0469387755102041,0.044921875, ,0.0462633451957295,0.0615942028985507,0.032258064516129,0.0353982300884956,0.0566037735849057, ,0.062015503875969,0.0311111111111111,0.0574712643678161,0.037914691943128,0.0454545454545455, ,0.0474308300395257,0.0416666666666667,0.053639846743295,0.0344827586206897,0.0588235294117647, ,0.0609756097560976,0.0631970260223048,0.0484261501210654,0.0166666666666667,0.0175438596491228, ,0,0.0476190476190476,0.125,0.0326797385620915,0.0350877192982456,0,0.0454545454545455,0.032258064516129,0.111111111111111,0.0357142857142857,0.0599250936329588,0,0.113207547169811,0.166666666666667,0.0634920634920635,0.0377358490566038,0.0357142857142857,0,0.0341880341880342,0.0526315789473684,0, ,0,0,0,0,0,0,0,0,0,0,0, ,0.0527426160337553,0.0427631578947368,0.0373831775700935,0.0231481481481481,0.0574162679425837,0.0471698113207547,0.0649350649350649,0.0502793296089385,0.0378548895899054,0.112903225806452,0, ,0.0271739130434783,0.0416666666666667,0.0509641873278237
Other,11,,8,3, ,3,3,4,1,0, ,1,4,4,1,1, ,3,0,7,0,1, ,0,0,3,5,3, ,1,5,2,1,0,2,0,2,0,0,2,0,1,0,0,1,0,0,1,0,0, ,0,0,0,0,0,0,0,0,0,0,0, ,1,1,1,0,3,0,1,0,1,0,5, ,2,1,9
,1%,,0.0163265306122449,0.005859375, ,0.0106761565836299,0.0108695652173913,0.014336917562724,0.00884955752212389,0, ,0.00775193798449612,0.0177777777777778,0.0153256704980843,0.004739336492891,0.00568181818181818, ,0.0118577075098814,0,0.0268199233716475,0,0.0588235294117647, ,0,0,0.00726392251815981,0.0277777777777778,0.0526315789473684, ,0.0833333333333333,0.0476190476190476,0.0833333333333333,0.00326797385620915,0,0.0377358490566038,0,0.021505376344086,0,0,0.00749063670411985,0,0.0188679245283019,0,0,0.00943396226415094,0,0,0.00854700854700855,0,0, ,0,0,0,0,0,0,0,0,0,0,0, ,0.00210970464135021,0.00328947368421053,0.00467289719626168,0,0.0143540669856459,0,0.00324675324675325,0,0.00315457413249211,0,0.5, ,0.0108695652173913,0.00694444444444444,0.012396694214876
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Question 7 - And what other types of media are likely to get your attention when looking for brands at Christmas time? Please select all that apply. ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total,1002,,490,512, ,281,276,279,113,53, ,129,225,261,211,176, ,253,384,261,87,17, ,82,269,413,180,57, ,12,105,24,306,57,53,44,93,27,28,267,11,53,18,63,106,56,16,117,38,66, ,268,63,49,45,62,18,106,188,146,46,11, ,474,304,214,216,209,106,308,358,317,186,10, ,184,144,726
,100%,,49%,51%, ,28%,28%,28%,11%,5%, ,13%,22%,26%,21%,18%, ,25%,38%,26%,9%,2%, ,8%,27%,41%,18%,6%, ,1%,7%,2%,20%,4%,3%,3%,6%,2%,2%,17%,1%,3%,1%,4%,7%,4%,1%,8%,2%,4%, ,27%,6%,5%,4%,6%,2%,11%,19%,15%,5%,1%, ,47%,30%,21%,22%,21%,11%,31%,36%,32%,19%,1%, ,18%,14%,72%
TV,474,,217,257, ,139,119,143,50,23, ,48,88,125,119,94, ,121,181,130,36,6, ,36,138,218,69,13, ,6,51,11,148,29,24,15,50,9,14,134,4,23,13,33,52,28,9,58,20,0, ,104,44,28,20,29,6,51,93,73,25,1, ,0,0,0,0,0,0,0,0,0,0,0, ,78,73,343
,47%,,0.442857142857143,0.501953125, ,0.494661921708185,0.431159420289855,0.512544802867383,0.442477876106195,0.433962264150943, ,0.372093023255814,0.391111111111111,0.478927203065134,0.563981042654028,0.534090909090909, ,0.478260869565217,0.471354166666667,0.498084291187739,0.413793103448276,0.352941176470588, ,0.439024390243902,0.513011152416357,0.527845036319613,0.383333333333333,0.228070175438596, ,0.5,0.485714285714286,0.458333333333333,0.483660130718954,0.508771929824561,0.452830188679245,0.340909090909091,0.537634408602151,0.333333333333333,0.5,0.50187265917603,0.363636363636364,0.433962264150943,0.722222222222222,0.523809523809524,0.490566037735849,0.5,0.5625,0.495726495726496,0.526315789473684,0, ,0.388059701492537,0.698412698412698,0.571428571428571,0.444444444444444,0.467741935483871,0.333333333333333,0.481132075471698,0.49468085106383,0.5,0.543478260869565,0.0909090909090909, ,0,0,0,0,0,0,0,0,0,0,0, ,0.423913043478261,0.506944444444444,0.472451790633609
Radio,304,,167,137, ,75,76,94,42,17, ,23,46,82,87,66, ,84,107,80,31,2, ,27,68,144,54,10, ,4,33,4,91,14,18,12,27,4,4,98,4,16,8,22,32,18,4,49,18,0, ,110,30,16,16,13,6,28,36,35,13,1, ,0,0,0,0,0,0,0,0,0,0,0, ,32,33,241
,30%,,0.340816326530612,0.267578125, ,0.266903914590747,0.27536231884058,0.336917562724014,0.371681415929204,0.320754716981132, ,0.178294573643411,0.204444444444444,0.314176245210728,0.412322274881517,0.375, ,0.33201581027668,0.278645833333333,0.306513409961686,0.35632183908046,0.117647058823529, ,0.329268292682927,0.252788104089219,0.348668280871671,0.3,0.175438596491228, ,0.333333333333333,0.314285714285714,0.166666666666667,0.297385620915033,0.245614035087719,0.339622641509434,0.272727272727273,0.290322580645161,0.148148148148148,0.142857142857143,0.367041198501873,0.363636363636364,0.30188679245283,0.444444444444444,0.349206349206349,0.30188679245283,0.321428571428571,0.25,0.418803418803419,0.473684210526316,0, ,0.41044776119403,0.476190476190476,0.326530612244898,0.355555555555556,0.209677419354839,0.333333333333333,0.264150943396226,0.191489361702128,0.23972602739726,0.282608695652174,0.0909090909090909, ,0,0,0,0,0,0,0,0,0,0,0, ,0.173913043478261,0.229166666666667,0.331955922865014
"Print media eg newspapers, magazines, flyers",214,,103,111, ,60,58,69,21,6, ,18,46,49,48,53, ,63,75,52,24,0, ,16,60,87,38,13, ,4,21,9,73,12,7,6,20,1,6,58,2,8,5,16,21,14,5,26,8,0, ,72,18,19,16,7,3,14,25,31,8,1, ,0,0,0,0,0,0,0,0,0,0,0, ,35,30,158
,21%,,0.210204081632653,0.216796875, ,0.213523131672598,0.210144927536232,0.247311827956989,0.185840707964602,0.113207547169811, ,0.13953488372093,0.204444444444444,0.187739463601533,0.227488151658768,0.301136363636364, ,0.24901185770751,0.1953125,0.199233716475096,0.275862068965517,0, ,0.195121951219512,0.223048327137546,0.210653753026634,0.211111111111111,0.228070175438596, ,0.333333333333333,0.2,0.375,0.238562091503268,0.210526315789474,0.132075471698113,0.136363636363636,0.21505376344086,0.037037037037037,0.214285714285714,0.217228464419476,0.181818181818182,0.150943396226415,0.277777777777778,0.253968253968254,0.19811320754717,0.25,0.3125,0.222222222222222,0.210526315789474,0, ,0.26865671641791,0.285714285714286,0.387755102040816,0.355555555555556,0.112903225806452,0.166666666666667,0.132075471698113,0.132978723404255,0.212328767123288,0.173913043478261,0.0909090909090909, ,0,0,0,0,0,0,0,0,0,0,0, ,0.190217391304348,0.208333333333333,0.21763085399449
"Out of Home eg billboards, posters",216,,112,104, ,78,48,57,22,11, ,23,52,52,46,43, ,64,78,52,19,3, ,20,54,92,36,14, ,2,27,5,82,10,11,8,18,8,6,61,5,11,4,17,9,13,4,36,13,0, ,72,17,12,23,10,5,12,36,24,5,0, ,0,0,0,0,0,0,0,0,0,0,0, ,33,42,152
,22%,,0.228571428571429,0.203125, ,0.277580071174377,0.173913043478261,0.204301075268817,0.194690265486726,0.207547169811321, ,0.178294573643411,0.231111111111111,0.199233716475096,0.218009478672986,0.244318181818182, ,0.25296442687747,0.203125,0.199233716475096,0.218390804597701,0.176470588235294, ,0.24390243902439,0.200743494423792,0.222760290556901,0.2,0.245614035087719, ,0.166666666666667,0.257142857142857,0.208333333333333,0.26797385620915,0.175438596491228,0.207547169811321,0.181818181818182,0.193548387096774,0.296296296296296,0.214285714285714,0.228464419475655,0.454545454545455,0.207547169811321,0.222222222222222,0.26984126984127,0.0849056603773585,0.232142857142857,0.25,0.307692307692308,0.342105263157895,0, ,0.26865671641791,0.26984126984127,0.244897959183673,0.511111111111111,0.161290322580645,0.277777777777778,0.113207547169811,0.191489361702128,0.164383561643836,0.108695652173913,0, ,0,0,0,0,0,0,0,0,0,0,0, ,0.179347826086957,0.291666666666667,0.209366391184573
Tiktok,209,,97,112, ,57,51,64,25,12, ,51,59,45,36,18, ,60,85,49,13,2, ,28,64,89,24,4, ,3,24,6,55,13,17,10,22,5,3,57,3,9,2,19,24,15,3,17,11,0, ,40,13,6,6,27,5,30,41,26,12,3, ,0,0,0,0,0,0,0,0,0,0,0, ,65,29,131
,21%,,0.197959183673469,0.21875, ,0.202846975088968,0.184782608695652,0.229390681003584,0.221238938053097,0.226415094339623, ,0.395348837209302,0.262222222222222,0.172413793103448,0.170616113744076,0.102272727272727, ,0.237154150197628,0.221354166666667,0.187739463601533,0.149425287356322,0.117647058823529, ,0.341463414634146,0.237918215613383,0.215496368038741,0.133333333333333,0.0701754385964912, ,0.25,0.228571428571429,0.25,0.179738562091503,0.228070175438596,0.320754716981132,0.227272727272727,0.236559139784946,0.185185185185185,0.107142857142857,0.213483146067416,0.272727272727273,0.169811320754717,0.111111111111111,0.301587301587302,0.226415094339623,0.267857142857143,0.1875,0.145299145299145,0.289473684210526,0, ,0.149253731343284,0.206349206349206,0.122448979591837,0.133333333333333,0.435483870967742,0.277777777777778,0.283018867924528,0.218085106382979,0.178082191780822,0.260869565217391,0.272727272727273, ,0,0,0,0,0,0,0,0,0,0,0, ,0.353260869565217,0.201388888888889,0.180440771349862
Twitter,106,,77,29, ,25,27,30,16,8, ,14,37,25,21,9, ,36,39,21,7,3, ,20,37,34,13,2, ,0,18,0,26,4,8,4,6,4,6,27,2,3,1,10,12,2,4,24,1,0, ,18,7,2,4,9,8,15,22,16,5,0, ,0,0,0,0,0,0,0,0,0,0,0, ,14,9,88
,11%,,0.157142857142857,0.056640625, ,0.0889679715302491,0.0978260869565217,0.10752688172043,0.141592920353982,0.150943396226415, ,0.108527131782946,0.164444444444444,0.0957854406130268,0.0995260663507109,0.0511363636363636, ,0.142292490118577,0.1015625,0.0804597701149425,0.0804597701149425,0.176470588235294, ,0.24390243902439,0.137546468401487,0.0823244552058111,0.0722222222222222,0.0350877192982456, ,0,0.171428571428571,0,0.0849673202614379,0.0701754385964912,0.150943396226415,0.0909090909090909,0.0645161290322581,0.148148148148148,0.214285714285714,0.101123595505618,0.181818181818182,0.0566037735849057,0.0555555555555556,0.158730158730159,0.113207547169811,0.0357142857142857,0.25,0.205128205128205,0.0263157894736842,0, ,0.0671641791044776,0.111111111111111,0.0408163265306122,0.0888888888888889,0.145161290322581,0.444444444444444,0.141509433962264,0.117021276595745,0.10958904109589,0.108695652173913,0, ,0,0,0,0,0,0,0,0,0,0,0, ,0.0760869565217391,0.0625,0.121212121212121
Facebook,308,,138,170, ,66,96,90,38,18, ,19,73,87,76,53, ,93,126,69,20,0, ,39,101,124,33,11, ,6,35,6,80,18,20,11,24,7,8,88,3,14,5,28,32,26,7,45,12,0, ,85,16,11,10,21,6,39,61,38,20,1, ,0,0,0,0,0,0,0,0,0,0,0, ,45,31,241
,31%,,0.281632653061224,0.33203125, ,0.234875444839858,0.347826086956522,0.32258064516129,0.336283185840708,0.339622641509434, ,0.147286821705426,0.324444444444444,0.333333333333333,0.360189573459716,0.301136363636364, ,0.367588932806324,0.328125,0.264367816091954,0.229885057471264,0, ,0.475609756097561,0.37546468401487,0.300242130750605,0.183333333333333,0.192982456140351, ,0.5,0.333333333333333,0.25,0.261437908496732,0.315789473684211,0.377358490566038,0.25,0.258064516129032,0.259259259259259,0.285714285714286,0.329588014981273,0.272727272727273,0.264150943396226,0.277777777777778,0.444444444444444,0.30188679245283,0.464285714285714,0.4375,0.384615384615385,0.315789473684211,0, ,0.317164179104478,0.253968253968254,0.224489795918367,0.222222222222222,0.338709677419355,0.333333333333333,0.367924528301887,0.324468085106383,0.26027397260274,0.434782608695652,0.0909090909090909, ,0,0,0,0,0,0,0,0,0,0,0, ,0.244565217391304,0.215277777777778,0.331955922865014
Instagram,358,,143,215, ,110,92,92,42,22, ,57,99,101,61,40, ,105,148,82,12,11, ,35,111,137,57,17, ,3,39,8,121,22,17,18,34,7,10,100,3,23,6,31,38,22,9,50,9,0, ,74,15,13,16,36,7,39,87,53,18,0, ,0,0,0,0,0,0,0,0,0,0,0, ,90,61,234
,36%,,0.291836734693878,0.419921875, ,0.391459074733096,0.333333333333333,0.329749103942652,0.371681415929204,0.415094339622642, ,0.441860465116279,0.44,0.386973180076628,0.289099526066351,0.227272727272727, ,0.41501976284585,0.385416666666667,0.314176245210728,0.137931034482759,0.647058823529412, ,0.426829268292683,0.412639405204461,0.331719128329298,0.316666666666667,0.298245614035088, ,0.25,0.371428571428571,0.333333333333333,0.395424836601307,0.385964912280702,0.320754716981132,0.409090909090909,0.365591397849462,0.259259259259259,0.357142857142857,0.374531835205993,0.272727272727273,0.433962264150943,0.333333333333333,0.492063492063492,0.358490566037736,0.392857142857143,0.5625,0.427350427350427,0.236842105263158,0, ,0.276119402985075,0.238095238095238,0.26530612244898,0.355555555555556,0.580645161290323,0.388888888888889,0.367924528301887,0.462765957446808,0.363013698630137,0.391304347826087,0, ,0,0,0,0,0,0,0,0,0,0,0, ,0.489130434782609,0.423611111111111,0.322314049586777
General Online advertising,317,,148,169, ,96,81,95,27,18, ,39,80,84,69,45, ,80,129,85,20,3, ,23,94,137,50,12, ,4,40,10,103,19,16,12,35,4,11,91,2,24,7,28,16,21,7,45,8,0, ,78,20,16,17,13,8,30,64,58,12,1, ,0,0,0,0,0,0,0,0,0,0,0, ,64,52,222
,32%,,0.302040816326531,0.330078125, ,0.341637010676157,0.293478260869565,0.340501792114695,0.238938053097345,0.339622641509434, ,0.302325581395349,0.355555555555556,0.32183908045977,0.327014218009479,0.255681818181818, ,0.316205533596838,0.3359375,0.325670498084291,0.229885057471264,0.176470588235294, ,0.280487804878049,0.349442379182156,0.331719128329298,0.277777777777778,0.210526315789474, ,0.333333333333333,0.380952380952381,0.416666666666667,0.336601307189543,0.333333333333333,0.30188679245283,0.272727272727273,0.376344086021505,0.148148148148148,0.392857142857143,0.340823970037453,0.181818181818182,0.452830188679245,0.388888888888889,0.444444444444444,0.150943396226415,0.375,0.4375,0.384615384615385,0.210526315789474,0, ,0.291044776119403,0.317460317460317,0.326530612244898,0.377777777777778,0.209677419354839,0.444444444444444,0.283018867924528,0.340425531914894,0.397260273972603,0.260869565217391,0.0909090909090909, ,0,0,0,0,0,0,0,0,0,0,0, ,0.347826086956522,0.361111111111111,0.305785123966942
Email ,186,,80,106, ,57,50,43,28,8, ,15,36,58,38,39, ,56,76,37,16,1, ,19,65,78,17,7, ,3,19,7,62,9,11,10,14,4,5,42,3,7,4,13,25,9,2,22,7,0, ,44,15,8,8,9,5,26,33,17,21,0, ,0,0,0,0,0,0,0,0,0,0,0, ,26,32,137
,19%,,0.163265306122449,0.20703125, ,0.202846975088968,0.181159420289855,0.154121863799283,0.247787610619469,0.150943396226415, ,0.116279069767442,0.16,0.222222222222222,0.180094786729858,0.221590909090909, ,0.221343873517787,0.197916666666667,0.14176245210728,0.183908045977011,0.0588235294117647, ,0.231707317073171,0.241635687732342,0.188861985472155,0.0944444444444444,0.12280701754386, ,0.25,0.180952380952381,0.291666666666667,0.202614379084967,0.157894736842105,0.207547169811321,0.227272727272727,0.150537634408602,0.148148148148148,0.178571428571429,0.157303370786517,0.272727272727273,0.132075471698113,0.222222222222222,0.206349206349206,0.235849056603774,0.160714285714286,0.125,0.188034188034188,0.184210526315789,0, ,0.164179104477612,0.238095238095238,0.163265306122449,0.177777777777778,0.145161290322581,0.277777777777778,0.245283018867925,0.175531914893617,0.116438356164384,0.456521739130435,0, ,0,0,0,0,0,0,0,0,0,0,0, ,0.141304347826087,0.222222222222222,0.18870523415978
Other,10,,7,3, ,4,3,1,1,1, ,1,3,5,0,1, ,1,2,6,0,1, ,1,0,3,4,2, ,0,2,0,0,1,0,0,1,0,0,2,0,0,0,0,2,0,0,1,0,0, ,1,0,1,1,0,0,0,0,2,0,5, ,0,0,0,0,0,0,0,0,0,0,0, ,1,1,9
,1%,,0.0142857142857143,0.005859375, ,0.0142348754448399,0.0108695652173913,0.003584229390681,0.00884955752212389,0.0188679245283019, ,0.00775193798449612,0.0133333333333333,0.0191570881226054,0,0.00568181818181818, ,0.00395256916996047,0.00520833333333333,0.0229885057471264,0,0.0588235294117647, ,0.0121951219512195,0,0.00726392251815981,0.0222222222222222,0.0350877192982456, ,0,0.019047619047619,0,0,0.0175438596491228,0,0,0.010752688172043,0,0,0.00749063670411985,0,0,0,0,0.0188679245283019,0,0,0.00854700854700855,0,0, ,0.00373134328358209,0,0.0204081632653061,0.0222222222222222,0,0,0,0,0.0136986301369863,0,0.454545454545455, ,0,0,0,0,0,0,0,0,0,0,0, ,0.00543478260869565,0.00694444444444444,0.012396694214876
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Segments,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total,1002,,490,512, ,281,276,279,113,53, ,129,225,261,211,176, ,253,384,261,87,17, ,82,269,413,180,57, ,12,105,24,306,57,53,44,93,27,28,267,11,53,18,63,106,56,16,117,38,66, ,268,63,49,45,62,18,106,188,146,46,11, ,474,304,214,216,209,106,308,358,317,186,10, ,184,144,726
,100%,,49%,51%, ,28%,28%,28%,11%,5%, ,13%,22%,26%,21%,18%, ,25%,38%,26%,9%,2%, ,8%,27%,41%,18%,6%, ,1%,7%,2%,20%,4%,3%,3%,6%,2%,2%,17%,1%,3%,1%,4%,7%,4%,1%,8%,2%,4%, ,27%,6%,5%,4%,6%,2%,11%,19%,15%,5%,1%, ,47%,30%,21%,22%,21%,11%,31%,36%,32%,19%,1%, ,18%,14%,72%
Females,184,,0,184, ,52,52,52,21,7, ,68,116,0,0,0, ,59,73,43,7,2, ,18,57,69,33,7, ,0,11,8,65,8,15,12,16,6,6,63,0,15,3,3,20,10,1,9,5,0, ,27,6,9,6,26,0,16,50,37,5,2, ,78,32,35,33,65,14,45,90,64,26,1, ,184,52,0
,18%,,0%,36%, ,19%,19%,19%,19%,13%, ,53%,52%,0%,0%,0%, ,23%,19%,16%,8%,12%, ,22%,21%,17%,18%,12%, ,0%,10%,33%,21%,14%,28%,27%,17%,22%,21%,24%,0%,28%,17%,5%,19%,18%,6%,8%,13%,0%, ,10%,10%,18%,13%,42%,0%,15%,27%,25%,11%,18%, ,16%,11%,16%,15%,31%,13%,15%,25%,20%,14%,10%, ,100%,36%,0%
Females Dublin,144,,0,144, ,144,0,0,0,0, ,19,33,37,30,25, ,43,58,35,7,1, ,10,35,74,19,5, ,2,7,13,63,7,8,7,16,4,7,49,0,7,1,3,13,6,0,12,4,0, ,28,8,6,6,8,0,15,32,34,6,1, ,73,33,30,42,29,9,31,61,52,32,1, ,52,144,0
,14%,,0%,28%, ,51%,0%,0%,0%,0%, ,15%,15%,14%,14%,14%, ,17%,15%,13%,8%,6%, ,12%,13%,18%,11%,9%, ,17%,7%,54%,21%,12%,15%,16%,17%,15%,25%,18%,0%,13%,6%,5%,12%,11%,0%,10%,11%,0%, ,10%,13%,12%,13%,13%,0%,14%,17%,23%,13%,9%, ,15%,11%,14%,19%,14%,8%,10%,17%,16%,17%,10%, ,28%,100%,0%
No Segments,726,,490,236, ,137,224,227,92,46, ,61,109,224,181,151, ,166,272,199,75,14, ,58,190,296,136,46, ,10,92,9,201,45,33,28,65,19,19,174,11,35,14,59,77,40,15,101,29,0, ,216,50,38,35,33,18,80,118,92,37,9, ,343,241,158,152,131,88,241,234,222,137,9, ,0,0,726
,72%,,100%,46%, ,49%,81%,81%,81%,87%, ,47%,48%,86%,86%,86%, ,66%,71%,76%,86%,82%, ,71%,71%,72%,76%,81%, ,83%,88%,38%,66%,79%,62%,64%,70%,70%,68%,65%,100%,66%,78%,94%,73%,71%,94%,86%,76%,0%, ,81%,79%,78%,78%,53%,100%,75%,63%,63%,80%,82%, ,72%,79%,74%,70%,63%,83%,78%,65%,70%,74%,90%, ,0%,0%,100%
